8471699,28,56,4,11,15
8471699,21,9,0,1,1
8471699,24,502,89,118,207
8474013,30,52,1,7,8
8474013,21,138,6,35,41
8474013,12,68,2,16,18
8474013,5,218,9,50,59
8474013,29,20,2,5,7
8474013,19,115,7,14,21
8476399,14,64,14,18,32
8476399,20,71,14,16,30
8476399,1,237,57,37,94
8479525,14,99,25,19,44
8471260,25,189,20,29,49
8471260,21,237,33,57,90
8471260,5,61,16,15,31
8471260,29,70,7,14,21
8471260,20,33,4,3,7
8477456,21,331,67,67,134
8480031,24,140,26,37,63
8475246,13,20,0,1,1
8475246,4,21,1,2,3
8475246,21,4,0,0,0
8475246,53,185,16,23,39
8475246,29,81,10,17,27
8475246,25,44,1,9,10
8475792,13,90,21,16,37
8475792,16,19,1,2,3
8475792,15,217,52,44,96
8475792,6,76,9,18,27
8475792,14,66,14,3,17
8478398,52,376,173,163,336
8477429,52,467,74,110,184
8477429,3,10,4,7,11
8476393,18,111,13,25,38
8476393,8,58,9,13,22
8476393,54,7,1,2,3
8476393,53,152,19,27,46
8476393,4,107,12,15,27
8474053,28,650,228,268,496
8476461,4,644,167,266,433
8475745,6,214,40,60,100
8475745,30,479,91,151,242
8481528,7,112,17,32,49
8476390,30,4,0,1,1
8476390,24,49,4,6,10
8476390,23,10,0,0,0
8471675,5,666,291,500,791
8478474,53,346,56,54,110
8477680,5,1,0,0,0
8477680,22,21,2,3,5
8478512,2,15,2,3,5
8478512,55,6,0,2,2
8478512,20,62,8,13,21
8478512,6,59,5,12,17
8477814,5,2,0,0,0
8477814,2,13,0,2,2
8481523,16,150,19,40,59
8474149,9,55,13,7,20
8474149,54,69,18,18,36
8474149,13,225,81,101,182
8480839,7,269,27,124,151
8477936,2,112,8,13,21
8474610,29,25,2,2,4
8474610,13,1,0,0,0
8474610,30,11,2,2,4
8474610,7,21,1,2,3
8474610,23,55,4,3,7
8474610,12,10,1,2,3
8476479,8,360,54,140,194
8476479,26,72,21,23,44
8476479,16,32,1,4,5
8475869,7,6,0,0,0
8475869,20,7,0,0,0
8475869,28,5,0,0,0
8475869,16,10,0,1,1
8475869,22,114,8,9,17
8475869,2,15,1,1,2
8475869,8,23,0,3,3
8479602,18,21,0,2,2
8475177,16,139,5,18,23
8475177,12,74,1,13,14
8475177,2,303,12,69,81
8477455,19,47,1,5,6
8477455,17,76,4,9,13
8477455,8,119,8,11,19
8478029,24,3,0,0,0
8478029,1,2,0,0,0
8478029,52,2,0,0,0
8477520,7,4,0,0,0
8477520,1,20,3,2,5
8477520,5,9,2,0,2
8477950,3,167,19,73,92
8477950,12,55,10,37,47
8477950,53,39,5,9,14
8479337,16,358,158,138,296
8478498,6,311,89,81,170
8477215,17,537,33,110,143
8474584,29,53,4,9,13
8474584,9,19,2,8,10
8474584,24,61,2,16,18
8474584,23,105,7,19,26
8474584,19,7,0,3,3
8474584,4,167,20,43,63
8474584,3,88,5,27,32
8474584,18,25,1,4,5
8480848,25,27,3,2,5
8476331,52,130,1,20,21
8476331,9,126,4,28,32
8476331,28,133,3,29,32
8474218,53,195,8,35,43
8474218,13,81,9,19,28
8474218,25,123,12,33,45
8474218,28,117,6,34,40
8480844,13,8,0,4,4
8478408,10,251,12,40,52
8478408,23,9,0,0,0
8475235,24,169,17,16,33
8475235,30,10,2,0,2
8475235,8,106,12,7,19
8475235,7,211,12,18,30
8476858,3,51,2,10,12
8476858,12,147,14,27,41
8476858,18,3,0,0,0
8477450,25,221,25,38,63
8477450,23,53,4,4,8
8475455,15,66,2,17,19
8475455,52,71,2,17,19
8475455,28,439,13,75,88
8475455,25,148,9,17,26
8477043,17,36,2,9,11
8477043,24,9,1,2,3
8477043,15,110,4,20,24
8480865,2,149,14,47,61
